Velocity,Counts
-9.48105,7146
-9.444165921568628,6999
-9.407281843137255,7113
-9.370397764705881,7143
-9.33351368627451,6935
-9.296629607843137,7111
-9.259745529411765,7015
-9.222861450980393,6880
-9.185977372549019,6931
-9.149093294117646,7004
-9.112209215686274,7099
-9.075325137254902,7149
-9.03844105882353,6989
-9.001556980392156,7203
-8.964672901960784,6936
-8.927788823529411,7081
-8.89090474509804,6972
-8.854020666666667,7035
-8.817136588235295,7060
-8.78025250980392,6745
-8.743368431372549,7109
-8.706484352941176,6998
-8.669600274509804,7112
-8.632716196078432,7037
-8.595832117647058,7109
-8.558948039215686,6892
-8.522063960784314,7099
-8.485179882352941,7104
-8.44829580392157,7066
-8.411411725490197,7064
-8.374527647058823,7015
-8.33764356862745,7076
-8.300759490196079,7113
-8.263875411764706,7102
-8.226991333333334,7090
-8.19010725490196,7084
-8.153223176470588,7134
-8.116339098039216,6972
-8.079455019607844,7020
-8.042570941176471,7284
-8.005686862745097,7134
-7.968802784313725,7263
-7.931918705882353,6869
-7.895034627450981,7223
-7.858150549019608,7168
-7.8212664705882355,7133
-7.7843823921568625,7210
-7.74749831372549,7142
-7.710614235294118,7038
-7.673730156862745,7124
-7.636846078431373,7127
-7.599962,6818
-7.5630779215686275,7072
-7.526193843137255,7039
-7.489309764705882,7106
-7.45242568627451,7124
-7.415541607843137,7017
-7.378657529411765,7123
-7.3417734509803925,7079
-7.30488937254902,7129
-7.268005294117647,6969
-7.231121215686274,7059
-7.194237137254902,7135
-7.15735305882353,7204
-7.1204689803921575,7085
-7.083584901960784,7027
-7.046700823529411,7143
-7.009816745098039,6883
-6.972932666666667,6919
-6.936048588235295,7091
-6.899164509803922,7054
-6.862280431372549,6916
-6.825396352941176,7081
-6.788512274509804,7053
-6.751628196078432,7022
-6.71474411764706,7155
-6.677860039215687,7009
-6.6409759607843135,6965
-6.604091882352941,7081
-6.567207803921569,7164
-6.530323725490197,6982
-6.493439647058824,7079
-6.456555568627451,7100
-6.4196714901960785,6990
-6.382787411764706,7160
-6.345903333333334,6952
-6.309019254901961,7013
-6.272135176470588,6979
-6.235251098039216,7111
-6.1983670196078435,7096
-6.161482941176471,7071
-6.124598862745098,7085
-6.087714784313726,6942
-6.050830705882353,6959
-6.013946627450981,7067
-5.9770625490196085,7121
-5.9401784705882354,6854
-5.903294392156863,7014
-5.86641031372549,7003
-5.829526235294118,7217
-5.792642156862746,7154
-5.7557580784313735,7049
-5.7188740000000005,6876
-5.681989921568627,7121
-5.645105843137255,7035
-5.608221764705883,7070
-5.571337686274511,7087
-5.534453607843138,6964
-5.497569529411765,6982
-5.460685450980392,7097
-5.42380137254902,6958
-5.386917294117648,6987
-5.350033215686275,7053
-5.313149137254903,7095
-5.27626505882353,6983
-5.239380980392157,6964
-5.202496901960785,6978
-5.165612823529412,6994
-5.12872874509804,7012
-5.091844666666667,7061
-5.054960588235295,7109
-5.018076509803922,7135
-4.981192431372549,7076
-4.944308352941177,7005
-4.907424274509805,7069
-4.870540196078432,7085
-4.83365611764706,7065
-4.7967720392156865,7129
-4.759887960784314,6989
-4.723003882352942,6957
-4.686119803921569,7036
-4.649235725490197,7208
-4.612351647058824,7014
-4.5754675686274515,7147
-4.538583490196079,7046
-4.501699411764706,7156
-4.464815333333334,7121
-4.427931254901962,7146
-4.391047176470589,7166
-4.3541630980392165,6951
-4.317279019607843,7040
-4.280394941176471,7043
-4.243510862745099,7008
-4.206626784313726,7002
-4.169742705882354,6875
-4.132858627450981,7176
-4.0959745490196084,6939
-4.059090470588236,7124
-4.022206392156863,6967
-3.985322313725491,7118
-3.9484382352941187,7138
-3.9115541568627457,7004
-3.8746700784313735,7071
-3.8377860000000004,7085
-3.800901921568628,7058
-3.764017843137256,6984
-3.727133764705883,7005
-3.6902496862745107,7104
-3.6533656078431385,6974
-3.6164815294117654,6931
-3.579597450980393,6967
-3.54271337254902,7026
-3.505829294117648,7047
-3.4689452156862757,7078
-3.4320611372549026,7159
-3.3951770588235304,7156
-3.3582929803921573,7028
-3.321408901960785,7088
-3.284524823529413,7002
-3.24764074509804,6964
-3.2107566666666676,7008
-3.1738725882352954,7155
-3.1369885098039223,6948
-3.10010443137255,7010
-3.063220352941177,7043
-3.026336274509805,7013
-2.9894521960784326,6956
-2.9525681176470595,7006
-2.9156840392156873,7072
-2.878799960784314,6955
-2.841915882352942,7023
-2.80503180392157,7052
-2.7681477254901967,7091
-2.7312636470588245,7112
-2.6943795686274523,6981
-2.6574954901960792,6873
-2.620611411764707,7009
-2.583727333333334,6835
-2.5468432549019617,6953
-2.5099591764705895,7036
-2.4730750980392164,7104
-2.4361910196078442,6972
-2.399306941176471,6900
-2.362422862745099,6960
-2.3255387843137267,7055
-2.2886547058823536,6919
-2.2517706274509814,7049
-2.2148865490196092,7037
-2.178002470588236,7050
-2.141118392156864,7185
-2.104234313725491,7075
-2.0673502352941187,7086
-2.0304661568627465,6845
-1.9935820784313734,7050
-1.9566980000000012,7127
-1.919813921568629,7108
-1.8829298431372559,6880
-1.8460457647058837,7132
-1.8091616862745106,7042
-1.7722776078431384,7095
-1.7353935294117662,7037
-1.698509450980393,7092
-1.6616253725490209,6978
-1.6247412941176478,7104
-1.5878572156862756,6930
-1.5509731372549034,6934
-1.5140890588235303,6880
-1.4772049803921572,6996
-1.440320901960785,6989
-1.4034368235294128,7073
-1.3665527450980406,7147
-1.3296686666666684,6999
-1.2927845882352962,7104
-1.2559005098039222,7032
-1.21901643137255,7073
-1.1821323529411778,6982
-1.1452482745098056,7017
-1.1083641960784334,6913
-1.0714801176470594,6916
-1.0345960392156872,6937
-0.997711960784315,6924
-0.9608278823529428,7156
-0.9239438039215706,6980
-0.8870597254901966,7022
-0.8501756470588244,7070
-0.8132915686274522,7087
-0.77640749019608,7107
-0.7395234117647078,6997
-0.7026393333333338,7058
-0.6657552549019616,7040
-0.6288711764705894,6952
-0.5919870980392172,6957
-0.555103019607845,7086
-0.518218941176471,7061
-0.48133486274509885,7017
-0.44445078431372664,7061
-0.40756670588235444,6876
-0.37068262745098224,6811
-0.33379854901961004,7053
-0.29691447058823606,6864
-0.26003039215686385,7000
-0.22314631372549165,7093
-0.18626223529411945,6729
-0.14937815686274725,6732
-0.11249407843137327,6825
-0.07561000000000107,6794
-0.03872592156862886,6639
-0.0018418431372566602,6567
0.03504223529411554,6456
0.07192631372548952,6510
0.10881039215686172,6567
0.14569447058823393,6382
0.18257854901960613,6470
0.21946262745097833,6429
0.2563467058823523,6753
0.2932307843137245,6743
0.3301148627450967,6832
0.3669989411764689,6815
0.4038830196078411,7044
0.4407670980392133,6801
0.4776511764705873,6900
0.5145352549019595,7076
0.5514193333333317,6948
0.5883034117647039,6857
0.6251874901960761,6996
0.6620715686274501,7137
0.6989556470588223,7177
0.7358397254901945,7026
0.7727238039215667,6990
0.8096078823529389,7063
0.8464919607843129,6949
0.8833760392156851,7050
0.9202601176470573,7071
0.9571441960784295,7140
0.9940282745098017,6960
1.0309123529411757,6926
1.0677964313725479,7041
1.10468050980392,7101
1.1415645882352923,7078
1.1784486666666645,7117
1.2153327450980385,6890
1.2522168235294107,7051
1.2891009019607829,6911
1.325984980392155,6922
1.3628690588235273,7175
1.3997531372548995,6896
1.4366372156862734,7108
1.4735212941176457,7024
1.5104053725490179,7112
1.54728945098039,7152
1.5841735294117623,7214
1.6210576078431362,6979
1.6579416862745084,7156
1.6948257647058806,7069
1.7317098431372528,7037
1.768593921568625,7108
1.805477999999999,7111
1.8423620784313712,7029
1.8792461568627434,7028
1.9161302352941156,6997
1.9530143137254878,7100
1.9898983921568618,7106
2.026782470588234,7013
2.0636665490196062,7057
2.1005506274509784,7158
2.1374347058823506,7188
2.174318784313723,7091
2.211202862745097,7004
2.248086941176469,7173
2.284971019607841,7101
2.3218550980392134,6946
2.3587391764705856,7165
2.3956232549019596,6943
2.432507333333332,6972
2.469391411764704,7013
2.506275490196076,7006
2.5431595686274484,6987
2.5800436470588224,7035
2.6169277254901946,7050
2.653811803921567,7176
2.690695882352939,7096
2.727579960784311,7030
2.764464039215685,7041
2.8013481176470574,7039
2.8382321960784296,7051
2.875116274509802,7119
2.912000352941174,7053
2.948884431372548,7132
2.98576850980392,7042
3.0226525882352924,7163
3.0595366666666646,6885
3.0964207450980368,7114
3.133304823529409,6891
3.170188901960783,7082
3.207072980392155,6969
3.2439570588235274,6977
3.2808411372548996,7123
3.3177252156862718,7030
3.3546092941176457,7043
3.391493372549018,7234
3.42837745098039,7101
3.4652615294117624,6986
3.5021456078431346,7113
3.5390296862745085,7165
3.5759137647058807,7092
3.612797843137253,7108
3.649681921568625,7118
3.6865659999999973,7104
3.7234500784313713,7041
3.7603341568627435,7088
3.7972182352941157,7024
3.834102313725488,6998
3.87098639215686,7024
3.9078704705882323,6986
3.9447545490196063,7057
3.9816386274509785,7098
4.018522705882351,7023
4.055406784313723,7043
4.092290862745095,7074
4.129174941176469,7134
4.166059019607841,6990
4.2029430980392135,7037
4.239827176470586,7054
4.276711254901958,6941
4.313595333333332,6998
4.350479411764704,7217
4.387363490196076,7067
4.4242475686274485,7094
4.461131647058821,7095
4.498015725490195,7110
4.534899803921567,6913
4.571783882352939,7123
4.608667960784311,6981
4.6455520392156835,7051
4.6824361176470575,7147
4.71932019607843,7024
4.756204274509802,6931
4.793088352941174,6988
4.829972431372546,7035
4.8668565098039185,7007
4.9037405882352925,7026
4.940624666666665,6882
4.977508745098037,7070
5.014392823529409,7126
5.051276901960781,7231
5.088160980392155,7179
5.1250450588235275,7121
5.1619291372549,7017
5.198813215686272,7066
5.235697294117644,6942
5.272581372549018,6890
5.30946545098039,7367
5.3463495294117624,7044
5.383233607843135,7056
5.420117686274507,7002
5.457001764705881,6958
5.493885843137253,7055
5.530769921568625,6977
5.567653999999997,7049
5.60453807843137,7159
5.641422156862742,7151
5.678306235294116,7026
5.715190313725488,7016
5.75207439215686,6955
5.788958470588232,7030
5.825842549019605,6835
5.862726627450979,6999
5.899610705882351,7073
5.936494784313723,7095
5.973378862745095,7142
6.010262941176467,7070
6.047147019607841,7064
6.084031098039214,6929
